"Pressure (Decibar)","Depth (Meter)","Temperature (Celsius)","Conductivity (MicroSiemens per Centimeter)","Specific conductance (MicroSiemens per Centimeter)","Salinity (Practical Salinity Scale)","Sound velocity (Meters per Second)","Density (Kilograms per Cubic Meter)"
0.75,0.748965379073306,16.4992121126394,37357.0815431105,45009.3864935482,28.8680437970077,1504.29042563567,1020.93115639243
1.05,1.04853884399169,16.4664321612119,37344.3985324286,45029.6741075315,28.8806978710173,1504.20836567048,1020.94948121113
1.35,1.34811171457645,16.475229529202,37331.7479585781,45004.8720433162,28.863386172083,1504.22075251439,1020.93559535536
1.65,1.6476932832429,16.5204088520788,37314.5951991345,44935.2453778479,28.8160236505892,1504.31135204613,1020.89058604269
1.95,1.9472857811385,16.5823194280838,37341.3198034379,44900.4773146665,28.7943305813448,1504.48293720492,1020.86149656437
2.25,2.24688242039456,16.5796646194813,37338.1810400586,44899.5697557462,28.7934500618167,1504.4786959329,1020.86275036511
2.55,2.54646600655954,16.4941297200709,37369.5351523599,45029.9059221913,28.8818054088271,1504.3202800417,1020.95084773491
2.85,2.84602181849589,16.4027797198421,37414.1840852924,45183.1789296044,28.9861501241011,1504.1617155988,1021.05245223691
3.15,3.14556502955898,16.3708166682094,37351.4055729793,45142.2144654946,28.9551693953258,1504.03192947447,1021.03713159571
3.45,3.44510577380809,16.2709870997382,37281.3274835331,45166.5081252316,28.9670570572481,1503.74010032495,1021.06965798573
3.75,3.74463237384586,16.1418778895102,37224.9254715084,45239.7014685121,29.0120982231775,1503.39415170643,1021.13395317743
4.05,4.04414188248965,16.0540123331661,37199.2635648961,45305.2715810242,29.053861444293,1503.17237074859,1021.18658280523
4.35,4.34363690316056,15.9940394137242,37197.0606615388,45368.8648319514,29.095715472799,1503.03761174554,1021.23313745794
4.65,4.64312383260741,15.9353619588579,37140.0606145658,45364.2753322829,29.0890404446253,1502.85079797585,1021.24214982972
4.95,4.94259876664908,15.8463130398815,37143.6460713676,45467.5628068332,29.1574398214513,1502.65465516473,1021.31533902203
5.25,5.24204828934115,15.7339128753951,37160.5009974975,45613.713947849,29.2549444606971,1502.41790579804,1021.4158719745
5.55,5.54146186416963,15.5152647998526,37119.1684625799,45808.8681463029,29.380868170881,1501.87666014442,1021.56098444747
5.85,5.84084612008748,15.2394693785065,36878.8288723077,45824.1987803225,29.3746638891198,1500.99663691274,1021.61632136521
6.15,6.1401856337419,14.6751065990326,36592.8113145155,46115.5803364718,29.5450363669999,1499.38402626411,1021.86679524905
6.45,6.43948576256913,14.4825003206963,36398.0227852963,46093.8675231478,29.5162201027323,1498.72990891529,1021.88558035679
6.75,6.73878307930592,14.3485813463194,36245.029219378,46056.3354246168,29.4800302791907,1498.25585718445,1021.88638585242
7.05,7.03808116173206,14.2251581691146,36095.2748675067,46010.3624208299,29.4384680018296,1497.80833414765,1021.88074025906
7.35,7.3373746211041,14.1109393512185,36018.2819324806,46046.3012778015,29.4556320926001,1497.45838917025,1021.9183441047
7.65,7.63665289702638,14.0000135143455,35986.2805986929,46136.2411906036,29.5112504961615,1497.16326619379,1021.98481928419
7.95,7.93591336480542,13.9473782341595,36004.2464983818,46221.6561560536,29.5678859328864,1497.06094133395,1022.04035873165
8.25,8.23515810429657,13.9211898052108,36047.2663976878,46308.0221572026,29.6271569321828,1497.0488883598,1022.09264139853
